cbUNizW-X10	미국 대선을 앞두고 제 살길을 찾기 시작한 구루들 | 에릭 [풀영상]	NA
VEXgVJ5aIM4	AI 섹터 이제 끝물이냐구요? 딱 한마디만 할게요⎮미래에셋자산운용 김수정 매니저	NA
bBAppS0f7P8	딱 한종목만 투자한다면 저는 무조건 '이것' 추천합니다⎮미래에셋자산운용 김수정 매니저	NA
WXZoEkwLnBw	인간은 시장을 이길 수 없습니다. 그래서 이렇게 하셔야 해요⎮미래에셋자산운용 김수정 매니저	NA
udoQrm_q0c4	금리인하 시그널 나오는데 은행주가 계속 오르는 '이유'⎮밸류시스템자산운용 김탁 상무	NA
3TOowrhm3K0	조정 받아 흔들리는 주도주! 이때 '이것' 보셔야 돈벌어요⎮밸류시스템자산운용 김탁 상무	NA
4wHpURdosQI	[속보효] 초비상! 비트코인 8,000만원 붕괴!! 이게 무슨 일이야!	NA
k7Ox9VYp3pI	Peak Korea! Is there really no chance?⎮Hai Investment & Securities Researcher Park Sang-hyun	NA
HTp8Ri5BIrs	역사적으로 버블이 터질때는 항상 '이 신호'가 나왔습니다⎮하이투자증권 박상현 연구원	NA
4PiqPd5yktE	부채의 늪에 빠진 중국, 해결할 능력이 있나...?⎮하이투자증권 박상현 연구원	NA
OUEhtn8EEdU	[그냥효] 금리 내리면 주식이 오를거라는 '착각'	NA
HrWAP5sVXOw	원전에 힘 빡주는 미국! 수혜받는 곳은 어디일까?⎮삼성액티브자산운용 김효식 팀장	NA
ZWynhh-3rkA	Trump's vehement opposition to renewable energy! Can he defy global trends? ⎮Kim Hyo-sik, Team Le...	NA
IhyHQ76loqs	[Breaking News] "Inflation has made significant progress," Powell says, hinting at the possibilit...	NA
7Rf4QtsFfEc	차기 나스닥 AI '오호대장군' 여기서 싹 정리해드립니다⎮삼성액티브자산운용 김효식 팀장	NA
Gxr7ucWb8_w	[그냥효] 트럼프 지지율 상승과 함께 다가온 미국 시장의 큰 충격	NA
JGXUoitK_KA	[속보효] 금투세, 설마 진짜 한다고??? 긴장하는 투자자들	NA
DdRJRDJbvwQ	말만 Open AI고 하는 짓은 Closed AI! 샘알트만...불안합니다...⎮ASIA2G 캐피탈 제네럴 파트너 정지훈	NA
NqXeyvjfQ1I	'이것' AI가 해결 못하면 정말 큰 위기 옵니다⎮ASIA2G 캐피탈 제네럴 파트너 정지훈	NA
cpYXDAqL16A	If you invest in AI without knowing this, you're in serious trouble! ⎮ Ji-Hoon Jeong, General Par...	NA
Bb-Rwd7l13k	We'll explain everything behind the unprecedented boom in the Korean shipbuilding industry. Daol ...	NA
BxKnO3FKk-M	[그냥효] 변화하지 않으면 낙오되는 세상	NA
ZGMwgpfvUtk	[먼슬리구루] 원유왕이 원유 거래를 안하게 된 사연 | 에릭	NA
D5BrF89GKmU	[먼슬리구루] 경기침체는 무조건 온다 | 에릭	NA
5b4hilfLrJA	[먼슬리구루] 채권을 포기한 원조 채권왕이 몰빵한 주식은 '이것' | 에릭	NA
H7Fd5Rbv0fk	바이든 vs 트럼프 끝장토론에서 나온 서로 밀어주겠다는 종목은 '이것' #박지원	NA
GBXZqNUsNlg	[그냥효] 슈퍼엔저 맞이한 일본은 어쩌다 이렇게 된걸까?	NA
yBIrAf0RL2o	미국 해군 1인자가 한국 거제도까지 날아온 '이유'⎮다올투자증권 최광식 이사	NA
f9h4azO8blA	중국은 손도 못대고 있어요. 한국이 다 할 거에요⎮다올투자증권 최광식 이사	NA
HmJNPmasRE0	20년만에 조선업을 찾아온 역대급 기회! 주목할 곳은 '이곳' 입니다⎮다올투자증권 최광식 이사	NA
qg7EXz8MHPo	하이리스크 하이리턴! 중소형주 투자⎮리서치알음 최성환 대표	NA
mbKw4sKFQiI	꼼수부리다 철퇴 맞은 중국! 빈자리를 차지할 기업은?⎮현대차증권 강동진 연구위원	NA
uwVBq_bAyv8	Why Nvidia and AI Stocks Are So Volatile	NA
uOMnuKlmQJM	[속보효] 저는 이렇게 말할게요 "비트코인판 오버행의 시작"	NA
QetHAhLuXbk	'이것' 때문에 원전 16개가 필요하다고요?⎮현대차증권 강동진 연구위원	NA
lffL2nc4k5I	'이것' 하나로 탑클래스 제약사 러브콜 받는 회사⎮신한투자증권 엄민용 연구위원 [알테오젠 풀영상]	NA
jCPAfTtarGs	[그냥효] 중국이 되어가는 미국, 미국이 되어가는 중국	NA
FIJDPo8ZVRY	한국 기업들의 직접투자, 이제 미국 아닌 '이곳?'⎮한국은행 최준 박사	NA
lZczdvIeH2Y	China, hit by trade sanctions, succeeds in burglarizing Korea: Dr. Choi Jun, Bank of Korea	NA
IeqJUwGsMdY	[속보효] 모난 돌, 아니 모난 AI가 정맞는다	NA
YAk16_Niwz4	삼성바이오, 셀트리온 뒤를 이을 차세대 바이오 대장주는 '여기'⎮신한투자증권 엄민용 연구위원 [알테오젠 3부]	NA
2h1NRws2C-w	알테오젠 업고 튀어! 1년만에 코스닥 2등이 된 이유⎮신한투자증권 엄민용 연구위원 [알테오젠 2부]	NA
O789YgAxkL8	날고 기는 글로벌 제약사들을 줄 세우는 기업은 '이곳'⎮신한투자증권 엄민용 연구위원 [알테오젠 1부]	NA
UjLzTgG_uDI	[그냥효] 미국주식이 좋아보이는 아무도 생각하지 못한 이유⎮전쟁이야기 2부	NA
7yOxB-KzefE	[속보효] 단두대에 올라갈 준비를 하는 알트코인들	NA
8391zw_I2vY	[그냥효] 삼성전자는 코스피 대장의 자존심을 지킬 수 있을까?	NA
jkWs4boXpTY	대한민국은 이대로 무너지는가⎮타이거자산운용 오종태 이사 [풀영상]	NA
c6n_QJIvICY	[그냥효] 미국주식이 쉽게 안빠지는 아무도 생각하지 못한 이유⎮전쟁이야기 1부	NA
m95hm_DzFSo	최고의 디바이스와 만난 최강의 인공지능 #박지원	NA
PNgnbuT0Qag	하반기 AI 빅테크는 이 영상 보고 투자 준비하세요⎮ASIA2G 캐피탈 제네럴 파트너 정지훈 [풀영상]	NA
uYT_xm-HyvM	비트코인 대표 금지국 중국! 홍콩에서 ETF는 허용된 이유⎮중국증권행정연구원 안유화 교수	NA
RVDrVanJO1A	역대 최악이라는 중국 부동산 중국 정부는 뭘 하고 있을까?⎮중국증권행정연구원 안유화 교수	NA
GY1nSIxu9RQ	[Breaking News] Musk Receives 77 Trillion Won in Compensation and Tesla's Stock Soars	NA
KiLBtsnWjYo	[속보효] 파월 연설중 작심발언 "코로나 이전으로 돌아가긴 어려울 것 같다"	NA
33QwRTmZ3Rg	[속보효] 5월 CPI 떴습니다...진짜로 다행이네요	NA
G8LG400qScM	What are you going to do with the US's AI prowess? Ultimately, the money has to be made in China....	NA
ykC7jiRizQQ	AI 기술 발전은 미국을 보고 AI 응용은 '이곳' 보세요⎮중국증권행정연구원 안유화 교수	NA
3JbBv0Y46Ag	[속보효] FOMC 발표 당일 전해진 찜찜한 소식	NA
jmHm9fmK0dU	[그냥효] 간밤에 초 급등 한 애플! 제가 이때 애플을 산 이유	NA
dTDtXTRTeq0	다가오는 금리인하에 맞춰 두마리 토끼 잡는 투자 방법은?⎮삼성자산운용 이동후 수석매니저	NA
ILeTTzxqSVg	올해 하반기 시장 '이때' 좋고, '이때' 조심하세요⎮타이거자산운용 오종태 이사	NA
NN_fBEG0tXE	빠르게 발전하는 AI 기술은 인간에게 비극일까?⎮타이거자산운용 오종태 이사	NA
mqSHA-NuuRE	The youth unemployment rate is serious. Are you going to just sit back and do nothing about it? ⎮...	NA
NVBgCJDqzv0	갈등의 시대와 저출산의 관계⎮타이거자산운용 오종태 이사	NA
9kf-stnVWVQ	[먼슬리구루] 올해 1분기 구루들은 어떤 선택을 했을까? 구루들의 묵직한 조언 | 에릭 [풀영상]	NA
EhFy94A9-QM	[그냥효] 대기업 파리바게트가 성심당한테 밀리는 이유	NA
P4DHesNuGB8	[안단효] 1위 이어 2위 자리 까지 내어준 애플, 다음주에 보여줄 비장의 카드는 무엇일까? [풀영상]	NA
0mAjapC4Mmc	애플 제치고 시총 2위 등극한 엔비디아! 다음 스텝은 '이것'⎮ASIA2G 캐피탈 제네럴 파트너 정지훈	NA
ZR3sxB6TfZo	[그냥효 몰아보기] 세상이 너무 빨리 변해서 따라가기 힘든 분들이 꼭 보셨으면 하는 영상	NA
A130a1L81ek	[속보효] 엔비디아 시가총액 3조달러! 시총순위 2위 등극! 없는 사람은 어쩌나?	NA
emDtJEkfmiU	바닷속과 북극에 AI 데이터 센터를 짓는다?⎮ASIA2G 캐피탈 제네럴 파트너 정지훈	NA
tSyTBi6oarM	AI 데이터센터 핵심 부품을 독점하고 있는 회사가 있다?⎮ASIA2G 캐피탈 제네럴 파트너 정지훈	NA
cTNgsM6CsV8	[월간아신] 벼랑끝에 내몰린 삼성전자! 비장의 무기가 남아있을까?⎮IT의 신 이형수 대표	NA
TbWsaNMzYY4	[그냥효] JP모건 다이먼 회장 "지옥문이 열렸다"	NA
TJVn2hD9jtY	황금기가 도래한 인도 증시! 이렇게 한번 투자해보세요⎮인도투자 전문가 강황맨	NA
HcVYbDKJ0ro	기분좋게 급등한 인도 NIFTY50! 아직도 고민하는 분들 꼭 보세요⎮인도투자 전문가 강황맨	NA
oGpft4KkhBI	[먼슬리구루] 연봉 1조의 남자가 전해주는 맛있는 조언 | 에릭	NA
ev27auaZqm0	[먼슬리구루] 두명의 투자 대가들이 공통적으로 들고있는 주식은 '이것' | 에릭	NA
9HOIyo5KI84	[먼슬리구루] 애플 주식 대량 매도한 버핏! 버핏은 무슨 생각일까? | 에릭	NA
n8yUY2PdUok	[안단효] 결전의 날을 준비하는 애플	NA
1AvSJfkXBgU	[안단효] 삼성전자 반도체는 정말 희망이 없는걸까?	NA
rHdEof6xdqE	미국 투자의 대안은 인도가 될 수밖에 없는 이유는 '이것'⎮삼성자산운용 안정진 팀장	NA
0f6a8oiYp4E	[안단효] 압도적 퍼포먼스의 엔비디아! 준비중인 다음 스텝은 '이것'	NA
8b6L0_8FamM	[속보효] 이틀 연속 조정받는 코스피, 이유 알려드립니다	NA
akYkrR70CFI	요즘 AI가 대세죠 하지만 이런 투자 전략도 있습니다⎮밸류시스템자산운용 김탁 상무	NA
hgEvb7J5mE0	[Just Hyo] AI looking for a strong body	NA
BNe7ZTxIraw	[Breaking News] Samsung Electronics plummets 3% intraday! What's going on?	NA
B6rupxSI9fo	서학개미는 반드시 봐야할 미국 전력기기 투자 꿀팁⎮삼성액티브자산운용 김효식 팀장 [풀영상]	NA
q80UWf_augg	[월간아신] 삼성전자 이번엔 다르다? 한번더 믿어봐야 할까?⎮IT의 신 이형수 대표	NA
dBxBsY_h5zY	[월간아신] 엔비디아에게서 벗어나려는 빅테크들의 발버둥?⎮IT의 신 이형수 대표	NA
KRs6FN84pkY	[월간아신] 온 디바이스 AI 주도할 '이 두곳' 반드시 기억하세요⎮IT의 신 이형수 대표	NA
f_y7E4COXwY	이더리움 ETF 승인! 비트코인은 웃고있을까 울고있을까?⎮김동환 원더프레임 대표	NA
h6taHfxDb1k	백악관이 들썩인 '이것' 때문에 코인시장 전망 매우 좋습니다⎮김동환 원더프레임 대표	NA
lfMO6YrTQ_Q	이더리움 ETF 승인이 가져올 파장 #박지원	NA
mBooqiK_tEI	[그냥효] 주식 공부를 했다면 이틀 전에 엔비디아를 살 수 있었을까?	NA
4b-Y_HVv6zk	자산을 증식시큰 가장 확실한 방법은 '이것'⎮'절세'미남 이성호 세무사	NA
ZMqKn5Yf9Ys	일본이 라인달라고 생떼를 쓰는 이유⎮법무법인 디엘지 안희철 변호사	NA
FSdwsNbBKe8	대한민국이 제일 잘하는 '이 산업' 뜰거에요 주목하세요!⎮밸류시스템자산운용 김탁 상무	NA
HR45yu637Ak	차별화된 하이엔드 포트폴리오를 만드는 법⎮밸류시스템자산운용 김탁 상무	NA
_w0ip5ba7o4	[속보효] 상식 밖의 영업이익률 보여준 엔비디아! 진짜 땅파서 장사하는걸까?	NA
Ax9G7JeXnf0	[그냥효] 과열된 AI 시장의 버블이 터지는 순간은 '이때' 입니다	NA
QnjTRbbEi68	라인을 꿀꺽하려는 일본과 네이버의 치열한 공방⎮법무법인 디엘지 안희철 변호사	NA
8NM1vUWDF-U	요즘 핫한 전략 기기 섹터! 이 기업에 주목 하세요⎮삼성액티브자산운용 김효식 팀장	NA
N9WKFfPrUbY	What industry is the US pouring unprecedented amounts of money into? ⎮Samsung Active Asset Manage...	NA
lRToHsuJ5eA	[속보효] 달러 패권 시대의 종말? 차기 연준 의장 후보 작심발언!	NA
OOF0UMEDFTQ	엔비디아 실적 발표전 AI 빅테크 총정리 영상보고 가세요 | 삼성액티브자산운용 양희창 매니저 [풀영상]	NA
gBGGclzvhN4	이번 주주총회를 통해 버핏이 우리에게 내려준 가르침 | 라쿤자산운용 홍진채 대표 [풀영상]	NA
NMB3fqv0XyE	조만간 내집마련 기회가 온다고 보는 결정적인 이유 | 라이프자산운용 배문성 팀장 [풀영상]	NA
_rDOVgFjnCg	[속보효] 초유의 직구금지 사태! 이게 다 중국때문이라고?	NA
l-cJDwnfi9o	[속보효] 아무도 예측 못한 구리 부족사태! (매우심각)	NA
5c4DK0Rq_IQ	[Breaking News] US inflation finally under control... Stocks and coins all soar?!	NA
XMoA3X-7dOA	주도주 찾아내고 투자하는 방법? 5분이면 됩니다	NA
A2gdgdb2IXc	[속보효] CPI 발표 하루전, 시장이 급등한 이유 | Meme 주식 열풍 시작!	NA
9l1GnZcEehQ	하반기 AI 섹터 투자는 이 기술에 꼭 집중하셔야 합니다 | 삼성액티브자산운용 양희창 매니저	NA
g7wSP-TVGvc	또 대박난 GPT-4o, 공격적인 투자 펼치는 MS의 놀라운 정보력 | 삼성액티브자산운용 양희창 매니저	NA
4z-nS5XZmgE	[속보효] 구글이 차린 밥상을 엎어버린 샘 알트만	NA
v2dvqSuUiBU	[그냥효] 파월이 어깨 힘주고 큰소리치는 이유는 '이것'	NA
QM-2p_txETQ	ETF 운용 총보수가 9900원? 이게 말이 돼? | 삼성자산운용 김도형 본부장	NA
PvME18WYoaA	[먼슬리구루] 지금 테슬라 사라는 사람 vs 경기 침체 온다는 사람 | 에릭 [풀영상]	NA
oKA5s95Xjb4	[그냥효] 엔화 가치를 지키기 위해 수단 방법 안가리는 일본	NA
Naggw5A7bOk	AI는 아직 한참 멀었습니다. 결국엔 이렇게 될거에요 | 라쿤자산운용 홍진채 대표	NA
AKwPU_oMGK4	가치투자의 제왕 버핏이 생각하는 애플과 테슬라의 투자 가치 | 라쿤자산운용 홍진채 대표	NA
Lv2iPvsOkyI	찰리 없이 혼자하는 주총에서 버핏이 밝힌 비밀 | 라쿤자산운용 홍진채 대표	NA
OofFmCn5_hE	'이렇게' 오래 살아야 의미가 있어요 | 원리버 강하나 연구원	NA
E5mj-SXMa2U	이대로면 집값 다 무너질 수 밖에 없습니다 | 라이프자산운용 배문성 팀장	NA
IZvpaoly_zE	원달러 환율 요동칠수록 집값은 더 떨어질거에요 | 라이프자산운용 배문성 팀장	NA
4xVqedFPBwo	기분 좋은 미용기기 섹터! 언제까지 오를까? 저는 이렇게 생각합니다 | 원리버 강하나 연구원	NA
CVFjEXPwLo0	[그냥효] 애플이 위기라고 하더라구요? 근데 저는 일단 샀어요	NA
Z3V0KE354m8	Things are completely different now. Be careful of this. | Bae Moon-seong, Team Leader, Life Asse...	NA
jmZhoDYIfug	[속보효] AI 끝물이라면서 엔비디아로 큰돈 버는 사람	NA
Srd95urKK-g	[안단효] AI 후발주자 애플이 제일 무서운 이유는 '이것' [풀영상]	NA
v-NccXrDzHM	비트코인으로 돈 버는 기본 원칙은 '이것' | 수목튜브 윤수목 대표	NA
gxd4m4BTnKE	[속보효] 빅테크 2분기 실적 보니 뭘 사야할지 답이 나왔습니다	NA
MPdG4wlsQZQ	비트코인 폭망 시나리오 한번 써볼게요| 수목튜브 윤수목 대표	NA
xGCanQLEC3s	비트코인 반감기인데 왜 떨어져요? 알려드릴게요 | 수목튜브 윤수목 대표	NA
9wgHBh7l3B0	슈퍼차저팀 전원 해고한 테슬라! 2차 전지 시장에 활력이 돈다?! #박지원	NA
jh2nnFmLhHo	[먼슬리구루] "경기침체 옵니다!" 채권 대가가 전하는 묵직한 경고 | 에릭	NA
NNMtbM5a0gE	[먼슬리구루] "난 돈되는 건 다해" 블랙록 CEO의 묵직한 조언 | 에릭	NA
YEypF4tCrxk	[먼슬리구루] 아직도 테슬라를 안샀어? 지금이 바닥이라니까 ㅋㅋ| 에릭	NA
AFAnvoAKw0c	민희진-하이브 사태 최신 업데이트! 앞으로의 전개는 이렇게 됩니다 | MTN 기업&경영 센터장 김수헌	NA
1zOu7Eeqodw	I just got off the phone with Hive. I'll explain it to you in the simplest way possible. | Kim So...	NA
haxvv6RcMhY	[속보효] [5월 FOMC 리뷰] 최선을 다한 파월 vs 못 믿겠다는 시장	NA
IZmL2dfvD1Q	[속보효] 비트코인 급락, 3가지 이유와 대응방안	NA
WYKbNPs6Q7E	[안단효] 애플을 사고 싶어졌습니다. AI 반격 시작한 애플 #김단테 #안될공학	NA
tOLnxNmqwCw	[속보효] 무섭게 떨어지는 시장, 근데 더 무서운 월가의 FOMC 프리뷰	NA
RWcuq1jgpEQ	[안단효] 쏟아지는 빅테크 실적속 혼란을 틈타 치고 나올 기업은 '이곳' #김단테 #안될공학	NA
BpfhMo-9GGo	[안단효] 중국의 무모한 도전 #김단테 #안될공학	NA
GBNXbRdaH0E	[속보효] 돌아온 일론머스크! 중국 FSD승인?! 테슬라 급등?!	NA
vKhOkmGwhqA	[그냥효] 정부가 해외 직구를 금지할 수 밖에 없는 이유!	NA
yXxxl0DJtQ8	AI 버블은 분명히 있습니다. 하지만 '이것' 아시면 충분히 옥석 가리기 할 수 있으실거에요 | 타이거자산운용 오종태 이사 [풀영상]	NA
q0r1nnlZkk8	어떻게 살아야 인생 성공하는지 확실하게 깨달았습니다. 알려드릴게요 | 김작가	NA
1gCMiFb6JO8	1,000명 넘게 인터뷰하며 깨달았습니다. 부자들의 공통점은 '이것' | 김작가	NA
pURU3tXNgwk	[월간아신] 빅테크 실적 떴습니다! 결국에는 AI가 답인것 같네요 [풀영상]	NA
7SaYoU7HdeQ	[Breaking News] The US Raised Stagflation Fears, But Why Stocks Were Able to Rebound	NA
XHRpZrn5b6E	[속보효] 오늘밤 미국 GDP발표, 저는 미국이 무섭습니다	NA
i8bie7eOlcA	[속보효] 테슬라 급등! 간밤에 무슨일이 있던걸까? 이유 알려드릴게요	NA
5lTVSkKx6fg	[월간아신] 전기차 시장이 위기인 이유가 AI 반도체 때문이다?	NA
31oLAGa1kwU	[월간아신] 제2의 엔비디아가 될 기업은 '이곳' 일 수도 있습니다	NA
CPeYSJ478lg	[월간아신] 급락해버린 엔비디아 '이때' 반등 한번 옵니다! 꼭 기억하세요!	NA
hkpIESggYSY	주식시장이 흔들릴 때 일수록 정신 바짝 차리셔야합니다 | 타이거자산운용 오종태 이사	NA
gr2Y7oNFqLM	비트코인 반감기가 왔습니다. 근데 이건 시작에 불과합니다 | 미래에셋증권 이용재 선임매니저	NA
uKCjFdqbRGU	내집마련 하고픈 분들 주목! 곧 부동산 매물 쏟아집니다 | 광수네 복덕방 이광수 대표 [풀영상]	NA
lwd0Bs9p-8o	[속보효] 이란에 보복 공격한 이스라엘! 근데 위치가 핵시설..? 주식 시장은 어떻게 되는걸까	NA
4v-NzbNe1rM	미국에게 크게 혼난 중국! 지금은 조용히 내실을 다지는 중입니다 | 타이거자산운용 오종태 이사	NA
1CW01J664Lg	주식시장에 낀 AI 버블? 저는 이렇게 보고 있습니다 | 타이거자산운용 오종태 이사	NA
y6Y-mLULpJo	[Breaking News] Why KOSPI and KOSDAQ are Rising	NA
2KB_J1Dhr2w	[속보효] 환율 1,400원 돌파!! 코스피 무너지는 걸까?	NA
XffCgP3rcf4	[그냥효] 환율 치솟는데 괜찮다는 한국은행 총재....! 계획은 무엇일까?	NA
uNAsBQY-VoI	총선 이후 부동산 대격변 옵니다 모두에게 집 살 기회가 열려요 | 광수네 복덕방 이광수 대표	NA
SKTYhx0VpfQ	Real Estate and Stocks: Similar but Different | Gwangsu's Real Estate Shop CEO Lee Gwangsu	NA
UYlSGu2p9ng	[속보효] 이란, 이스라엘 드론과 미사일로 공격! 금융시장 영향은?	NA
y81NS4KWABY	[Breaking News] Exchange rate at 1,385 won! Should I sell all my stocks and run away?	NA
F33bQqXBIIY	[그냥효] 금융자산의 미래는 '이것' 블랙록의 야망이 뭔지 설명해드립니다	NA
XuHvffO1GgE	[속보효] CPI 발표직전에 수상한 움직임 발견!	NA
PTP7X31tDZk	[슈퍼패스] 강의영상 일부공개	NA
Y3462D5ZrPo	"전력기기 지금 들어가도 될까?" 하시는 분들이 꼭 보셔야 하는 영상⎮삼성액티브자산운용 김효식 팀장 [풀영상]	NA
3MEue4qqc6w	비트코인 ETF 약발은 떨어진건가요? 아뇨 이제 시작입니다 | 미래에셋증권 이용재 선임매니저	NA
HEwdT_U4h5k	이더리움 ETF 승인 노리는 블랙록! 승인 가능할까?  | 미래에셋증권 이용재 선임매니저	NA
qlzanFwNknc	[속보효] 또 난리난 중동! 비트코인은 과연 안전자산이 될 수 있을까?	NA
mhvoZhUYQz0	"Get out, you Bitcoin freak!" Larry Pink's outrageous plan #ParkJiWon	NA
CYG3o30y0I4	[그냥효] 비트코인은 가치가 없다구요? 제 생각은 조금 다릅니다	NA
Z3YT6-eYJO0	[속보효] 나스닥까지 비상! 간밤에 무슨일이 벌어진걸까?	NA
SFeqfiTddtw	[먼슬리구루] 대가들이 전하는 올해 투자에 대한 묵직한 조언⎮엔비디아, AI, 버블, 비트코인 [풀영상]	NA
OiKMBXo2Rrw	날뛰고 있는 전력기기 어느곳에 투자를 해야할까?⎮삼성액티브자산운용 김효식 팀장	NA
WbNuPjZdjZQ	치솟는 전력주! 태양광vs풍력vs원자력 중 어디가 대장일까?⎮삼성액티브자산운용 김효식 팀장	NA
doybumrEL20	아무것도 모르고 주식 투자하는 사람들 컴온	NA
XzpbtSzZ-BM	전기를 하마처럼 먹어대는 AI 데이터센터, '이 산업'이 떠야 해결됩니다⎮삼성액티브자산운용 김효식 팀장	NA
y2TX1SsEJ8k	변덕쟁이 파윌의 금리인하 시나리오⎮하나증권 김상훈 연구원 [풀영상]	NA
xjxO5QzbXGg	[속보효] 박살난 비트코인과 코스닥! 큰일 난 걸까?	NA
JvA7sPlqecA	[이슈효] 중국 테무(TEMU)는 시진핑 야심의 일부일 뿐이다?	NA
nkD0gGbe3_o	If you want to make money investing, watch what Nvidia is doing. Director Lee Seon-yeop [Full Video]	NA
jmcU1s_k0Y4	[먼슬리구루] "비트코인은 강남 아파트 1채값까지 올라갈 것"⎮에릭	NA
2nJwUxb3G60	[Andanhyo] The Growing AI Market: Get the Bottom Line Here #KimDante #UnsuccessfulEngineering [Fu...	NA
_K1ough0lEI	[먼슬리구루] "AI 시대 투자는 이렇게" 연봉 3.4조 받는 헤지펀드 제왕의 묵직한 조언⎮에릭	NA
_nXQnfNoV-A	[먼슬리구루] 레이달리오 "엔비디아는 이미 버블 터졌다" 헤지펀드 전설의 무서운 조언⎮에릭	NA
9RSJwq3mFGo	[Issue Hyo] Are all seniors in Korea truly poor? #ElderlyPoverty	NA
Mp9ywW7pqy0	중국을 말려 죽이려는 미국, 살 길 찾기위해 발버둥 치는 중국⎮명지대학교 박정호 교수 [풀영상]	NA
OsyvkLW4Nm8	양적긴축과 연준의 미래! 완벽하게 설명해드립니다⎮하나증권 김상훈 연구원	NA
OMzFCgEp4no	미국이 경제 위기? 실상은 이렇습니다⎮하나증권 김상훈 연구원	NA
yJ8PgBdRkHY	국내 주식에서 주목할 섹터 정리해드립니다⎮이선엽 이사	NA
nBhplKKliNY	국내 반도체 시장의 열쇠를 쥐고 있는 엔비디아의 선택은?⎮팔라티노 프라이빗에쿼티 송종호 대표 [풀영상]	NA
cZex0Sz7Ihc	AI 혁명은 이제부터입니다⎮이선엽 이사	NA
ZUPXro4-AS0	[안단효][공대삼돌이]AI 데이터센터 냉각 문제의 해답은 '여기' 있습니다⎮이효석X김단테X안될공학	NA
Vk-S3rb7gYY	[안단효][공대삼돌이]하드웨어 시장 접수한 엔비디아! 이제 소프트웨어 시장까지?⎮이효석X김단테X안될공학	NA
hJot9J99-AQ	[안단효][공대삼돌이]시총 1위에 도전하는 엔비디아! 숨겨놓은 비장의 무기는?⎮이효석X김단테X안될공학	NA
7Ws2mJU7Gx4	중국 부정부패의 끝! '얼다이' 문화, 그게 뭔데?⎮명지대학교 박정호 교수	NA
6mb5R2dara8	쇼핑시장 장악한 중국산 '테무', '알리' 대단합니다⎮명지대학교 박정호 교수	NA
W9_YfPRtz48	중국의 숨통 끊기 위해 미국이 준비한 한방⎮명지대학교 박정호 교수	NA
X-NC9RvSL64	K-반도체, 영광의 시간 이제부터 시작입니다⎮팔라티노 프라이빗에쿼티 송종호 대표	NA
igExv6ISKgI	인간보다 로봇이 많아지는 세상⎮팔라티노 프라이빗에쿼티 송종호 대표	NA
nHpZNV_zVus	AI investment is a battle. You need to know this. Song Jong-ho, CEO of Palatino Private Equity	NA
3KNfJ8V0cTA	[속보효] [FOMC 리뷰] 축포를 쏘아올린 파월! 지금 여러분들이 놓치는 '이것'	NA
XIBL5TPn1Xc	이제 미국은 배를 못만들어요⎮SK증권 한승한 연구원	NA
l7dtcLWzkD0	[속보효] 젠슨황 "삼성전자에 기대중", 젠승황의 부름을 받은 삼성전자 급등! | (feat. 안될공학 에러)	NA
NQ_KfQly-vA	드디어 미국을 넘어서는 중국? 군사력 경쟁 판도의 변화!⎮서울대학교 이재준박사 [풀영상]	NA
SQUlY0i65Ww	[Breaking News] Goldman Sachs: "Three rate cuts, not four." What's happening at the Fed?	NA
Mfy79OZzma4	대한민국 경제를 뒤흔들만한 엄청난 액수의 돈이 풀립니다⎮홍춘욱 박사 [풀영상]	NA
bVqwQHKiu5E	[Breaking News] Powell Prepares Surprising News! Is the Fed's Tier 1 Cuckoo Leaking Secrets?	NA
9J-h8-9sOeQ	아주 기대가 되는 '이 종목' 유심히 보세요⎮김영익 교수 [풀영상]	NA
QassIel96fY	결국 올해 돈 버는 사람은 '이 주식' 들고 가는 사람들이에요⎮이베스트투자증권 리테일사업부 윤지호대표 [풀영상]	NA
fZg7GLdW6Kg	늦어져서 답답한 금리인하, 당신의 투자는 안전한가요?⎮신한은행 WM그룹 오건영 팀장 [풀영상]	NA
Ub7KkMWAEFw	[이슈효] 사람이 없는 기업, 일자리가 없는 청년	NA
6rMH2n2Fvs4	Elon Musk sues Sam Altman #ParkJiWon #Celebrity	NA
qb6uV2uCsjs	[속보효] 비트코인, 코스피 급락에 혼란스러운 투자자분들께 골드만삭스가 전해주는 묵직한 소식	NA
2fQccFtwMDM	전망이 좋은 종목은 '이것' 알면 보입니다⎮김영익 교수	NA
4a9ruEDw2oY	AI 시장은 아직 대격변이 한번 더 남아있습니다⎮김영익 교수	NA
q35gPO6S7_I	늦어지는 금리인하, 하지만 이건 꼭 가져가세요⎮신한은행 WM그룹 오건영 팀장	NA
PDqy0tdINMA	'이 종목'에 주목하세요. 누구에게나 열린 기회가 오고있습니다⎮이베스트투자증권 리테일사업부 윤지호대표	NA
N5DFWp8WY7k	제대로 못막으면 큰 위기 불러올 '이것'⎮신한은행 WM그룹 오건영 팀장	NA
fZCB_swGjuE	Samsung Electronics is in a slump! The key to its recovery is 'this' - Yoon Ji-ho, Head of Retail...	NA
xwRphwFJwPs	The reason why we are hostile to interest rate cuts is because we need to look at 'this' that we ...	NA
9THSHpl-7d0	[속보효] 롤러코스터 같은 비트코인! 이럴 때일수록 진정하세요	NA
A0eqjvwPyqk	[월간아신] AI 반도체 사이클 당분간 계속 좋습니다! 다만 이건 꼭 조심하세요 [풀영상]	NA
